Case	Image1	Image2	Image3	Image4	Image5
1	66.7	44.4	44.4	44.4	33.3
2	100.0	88.9	100.0	100.0	88.9
3	77.8	66.7	55.6	33.3	66.7
4	100.0	100.0	44.4	44.4	100.0
5	100.0	100.0	44.4	77.8	88.9
6	77.8	88.9	100.0	77.8	88.9
7	77.8	66.7	0.0	66.7	66.7
8	77.8	77.8	88.9	66.7	88.9
9	66.7	88.9	55.6	55.6	77.8
10	55.6	66.7	66.7	77.8	77.8
11	66.7	100.0	66.7	66.7	66.7
12	88.9	88.9	44.4	77.8	88.9
13	77.8	88.9	77.8	77.8	66.7
14	100.0	100.0	100.0	100.0	100.0
15	100.0	77.8	33.3	55.6	100.0
16	66.7	88.9	66.7	100.0	88.9
17	77.8	66.7	77.8	100.0	100.0
18	66.7	44.4	11.1	44.4	44.4
19	88.9	88.9	88.9	77.8	88.9
20	66.7	66.7	44.4	55.6	66.7
21	77.8	88.9	66.7	77.8	77.8
22	66.7	55.6	77.8	77.8	77.8
23	66.7	66.7	66.7	66.7	66.7
24	66.7	77.8	77.8	66.7	77.8
25	66.7	77.8	77.8	55.6	55.6
26	100.0	100.0	100.0	100.0	100.0
27	100.0	100.0	66.7	77.8	77.8
28	11.1	77.8	44.4	77.8	0.0
29	66.7	77.8	77.8	66.7	66.7
30	100.0	100.0	77.8	100.0	100.0
31	88.9	88.9	44.4	66.7	77.8
32	66.7	66.7	66.7	66.7	66.7
33	88.9	66.7	66.7	100.0	100.0
34	77.8	77.8	66.7	100.0	77.8
35	66.7	100.0	44.4	55.6	44.4
36	100.0	66.7	66.7	100.0	100.0
37	66.7	88.9	55.6	55.6	55.6
38	77.8	66.7	66.7	44.4	77.8
39	100.0	100.0	44.4	66.7	66.7
40	55.6	66.7	77.8	66.7	77.8
41	77.8	77.8	44.4	77.8	100.0
42	66.7	77.8	66.7	88.9	88.9
43	77.8	66.7	100.0	100.0	100.0
44	55.6	55.6	66.7	66.7	55.6
45	100.0	100.0	77.8	100.0	100.0
46	100.0	55.6	66.7	100.0	100.0
47	100.0	77.8	44.4	77.8	66.7
48	66.7	66.7	66.7	77.8	66.7
49	55.6	77.8	0.0	11.1	44.4
50	44.4	100.0	0.0	44.4	88.9
51	77.8	100.0	66.7	100.0	77.8
52	77.8	66.7	66.7	77.8	66.7
53	77.8	66.7	77.8	66.7	66.7
54	44.4	77.8	0.0	100.0	66.7
55	66.7	77.8	66.7	66.7	66.7
56	66.7	44.4	66.7	66.7	77.8
57	77.8	88.9	11.1	66.7	88.9
58	88.9	88.9	77.8	77.8	100.0
59	88.9	100.0	66.7	100.0	77.8
60	66.7	66.7	66.7	77.8	66.7
61	66.7	55.6	77.8	44.4	66.7
62	77.8	77.8	33.3	77.8	66.7
63	66.7	66.7	77.8	77.8	88.9
64	77.8	77.8	0.0	44.4	77.8
65	66.7	77.8	77.8	77.8	33.3
66	77.8	88.9	55.6	88.9	77.8
67	77.8	33.3	88.9	77.8	55.6
68	66.7	66.7	66.7	66.7	66.7
69	77.8	66.7	55.6	77.8	88.9
70	77.8	66.7	44.4	77.8	77.8
71	66.7	88.9	66.7	77.8	88.9
72	100.0	100.0	44.4	77.8	77.8
73	88.9	100.0	66.7	66.7	100.0
74	44.4	66.7	66.7	44.4	66.7
75	77.8	66.7	66.7	66.7	66.7
76	33.3	55.6	33.3	44.4	66.7
77	66.7	66.7	66.7	66.7	77.8
78	55.6	55.6	77.8	66.7	66.7
79	66.7	77.8	77.8	77.8	66.7
80	77.8	66.7	66.7	55.6	66.7
81	77.8	88.9	77.8	77.8	88.9
82	77.8	66.7	66.7	88.9	77.8
83	77.8	88.9	66.7	88.9	77.8
84	66.7	55.6	55.6	66.7	77.8
85	66.7	66.7	33.3	77.8	77.8
86	77.8	55.6	77.8	77.8	88.9
87	88.9	88.9	55.6	77.8	88.9
88	88.9	77.8	66.7	88.9	88.9
89	66.7	77.8	55.6	88.9	77.8
90	66.7	77.8	66.7	100.0	77.8
91	88.9	100.0	100.0	77.8	77.8
92	77.8	77.8	55.6	66.7	66.7
93	77.8	77.8	77.8	88.9	88.9
94	55.6	77.8	66.7	66.7	88.9
95	11.1	66.7	66.7	11.1	44.4
96	88.9	88.9	100.0	100.0	88.9
97	88.9	77.8	66.7	66.7	66.7
98	66.7	66.7	55.6	66.7	66.7
99	77.8	55.6	22.2	66.7	66.7
100	100.0	100.0	66.7	100.0	66.7
101	77.8	77.8	44.4	77.8	77.8
102	77.8	77.8	66.7	77.8	77.8
103	100.0	66.7	11.1	77.8	66.7
104	66.7	55.6	66.7	66.7	55.6
105	100.0	100.0	77.8	77.8	88.9
106	66.7	22.2	66.7	22.2	88.9
107	100.0	44.4	44.4	44.4	77.8
108	77.8	88.9	77.8	66.7	77.8
109	66.7	100.0	66.7	100.0	100.0
110	77.8	77.8	66.7	77.8	88.9
111	44.4	55.6	44.4	77.8	77.8
