Case	Expec1	Expec2	Expec3
1	66.7	66.7	55.6
2	100.0	100.0	88.9
3	66.7	66.7	66.7
4	66.7	100.0	44.4
5	77.8	66.7	100.0
6	100.0	88.9	66.7
7	88.9	55.6	11.1
8	44.4	55.6	0.0
9	66.7	66.7	66.7
10	77.8	66.7	22.2
11	66.7	55.6	77.8
12	100.0	100.0	88.9
13	77.8	55.6	88.9
14	100.0	100.0	100.0
15	44.4	44.4	100.0
16	44.4	66.7	88.9
17	77.8	77.8	55.6
18	44.4	66.7	66.7
19	77.8	77.8	100.0
20	44.4	66.7	55.6
21	33.3	66.7	66.7
22	55.6	88.9	88.9
23	66.7	44.4	66.7
24	66.7	66.7	77.8
25	77.8	66.7	66.7
26	77.8	100.0	77.8
27	77.8	77.8	77.8
28	77.8	77.8	100.0
29	55.6	66.7	66.7
30	66.7	100.0	100.0
31	55.6	77.8	66.7
32	66.7	66.7	55.6
33	44.4	100.0	44.4
34	66.7	66.7	100.0
35	100.0	44.4	100.0
36	100.0	77.8	100.0
37	66.7	55.6	88.9
38	77.8	66.7	44.4
39	77.8	66.7	66.7
40	66.7	66.7	77.8
41	100.0	100.0	100.0
42	88.9	77.8	66.7
43	44.4	66.7	44.4
44	77.8	66.7	66.7
45	77.8	88.9	100.0
46	77.8	77.8	100.0
47	77.8	66.7	100.0
48	66.7	77.8	44.4
49	55.6	100.0	44.4
50	100.0	77.8	0.0
51	77.8	77.8	100.0
52	55.6	55.6	77.8
53	77.8	44.4	88.9
54	100.0	77.8	77.8
55	66.7	66.7	44.4
56	88.9	77.8	55.6
57	66.7	44.4	77.8
58	66.7	66.7	88.9
59	100.0	77.8	77.8
60	55.6	77.8	44.4
61	88.9	88.9	0.0
62	66.7	44.4	66.7
63	88.9	66.7	88.9
64	55.6	66.7	77.8
65	88.9	66.7	77.8
66	77.8	77.8	66.7
67	77.8	100.0	77.8
68	77.8	77.8	77.8
69	88.9	55.6	66.7
70	77.8	66.7	77.8
71	66.7	66.7	77.8
72	100.0	100.0	100.0
73	77.8	100.0	66.7
74	77.8	55.6	33.3
75	77.8	100.0	100.0
76	77.8	11.1	88.9
77	88.9	88.9	100.0
78	55.6	44.4	44.4
79	77.8	55.6	66.7
80	66.7	77.8	66.7
81	88.9	77.8	88.9
82	77.8	55.6	33.3
83	77.8	77.8	77.8
84	66.7	66.7	55.6
85	77.8	55.6	77.8
86	77.8	44.4	22.2
87	88.9	77.8	100.0
88	88.9	100.0	77.8
89	77.8	66.7	77.8
90	66.7	66.7	66.7
91	77.8	77.8	77.8
92	77.8	66.7	66.7
93	77.8	88.9	66.7
94	55.6	77.8	55.6
95	66.7	44.4	66.7
96	66.7	77.8	100.0
97	77.8	44.4	77.8
98	66.7	55.6	77.8
99	66.7	55.6	44.4
100	66.7	66.7	88.9
101	77.8	44.4	77.8
102	77.8	77.8	66.7
103	77.8	66.7	77.8
104	66.7	66.7	55.6
105	88.9	66.7	66.7
106	66.7	11.1	77.8
107	100.0	100.0	100.0
108	66.7	77.8	77.8
109	100.0	0.0	66.7
110	77.8	88.9	77.8
111	77.8	77.8	44.4
112	88.9	77.8	88.9
113	88.9	100.0	88.9
114	77.8	77.8	100.0
115	66.7	100.0	77.8
116	44.4	100.0	100.0
117	44.4	0.0	88.9
118	100.0	100.0	100.0
119	100.0	77.8	100.0
120	100.0	77.8	66.7
121	88.9	77.8	100.0
122	88.9	77.8	55.6
123	100.0	100.0	77.8
124	77.8	88.9	33.3
125	55.6	44.4	88.9
126	77.8	55.6	66.7
127	100.0	88.9	88.9
128	66.7	55.6	55.6
129	77.8	66.7	66.7
130	66.7	66.7	77.8
131	100.0	44.4	77.8
132	66.7	55.6	100.0
133	44.4	100.0	0.0
134	100.0	100.0	33.3
135	66.7	66.7	44.4
136	77.8	22.2	66.7
137	100.0	100.0	100.0
138	77.8	77.8	66.7
139	88.9	88.9	77.8
140	77.8	88.9	77.8
141	88.9	66.7	66.7
142	77.8	77.8	66.7
143	33.3	77.8	44.4
144	66.7	100.0	77.8
145	100.0	100.0	100.0
146	77.8	77.8	100.0
147	44.4	77.8	77.8
148	55.6	55.6	33.3
149	22.2	33.3	77.8
150	66.7	100.0	100.0
151	77.8	77.8	100.0
152	77.8	77.8	77.8
153	66.7	100.0	44.4
154	100.0	100.0	100.0
155	66.7	77.8	100.0
156	88.9	77.8	88.9
157	77.8	77.8	77.8
158	55.6	66.7	77.8
159	22.2	22.2	100.0
160	88.9	66.7	77.8
161	66.7	77.8	88.9
162	77.8	66.7	77.8
163	77.8	77.8	66.7
164	66.7	55.6	66.7
165	66.7	100.0	100.0
166	22.2	100.0	100.0
167	77.8	100.0	100.0
168	66.7	88.9	77.8
169	22.2	66.7	77.8
170	88.9	77.8	44.4
171	55.6	66.7	100.0
172	77.8	77.8	100.0
173	66.7	66.7	66.7
174	77.8	66.7	77.8
175	77.8	77.8	88.9
176	66.7	100.0	100.0
177	77.8	66.7	66.7
178	88.9	66.7	100.0
179	66.7	66.7	100.0
180	77.8	77.8	66.7
181	66.7	55.6	100.0
182	44.4	100.0	44.4
183	100.0	66.7	100.0
184	77.8	77.8	77.8
185	55.6	66.7	44.4
186	100.0	100.0	77.8
187	44.4	66.7	88.9
188	0.0	100.0	0.0
189	55.6	66.7	44.4
190	66.7	77.8	88.9
191	100.0	100.0	88.9
192	77.8	100.0	66.7
193	88.9	88.9	77.8
194	100.0	100.0	100.0
195	66.7	55.6	66.7
196	100.0	77.8	55.6
197	100.0	100.0	100.0
198	100.0	100.0	100.0
199	77.8	77.8	66.7
200	88.9	88.9	88.9
201	77.8	77.8	77.8
202	66.7	77.8	66.7
203	77.8	66.7	55.6
204	55.6	44.4	77.8
205	77.8	66.7	66.7
206	44.4	44.4	77.8
207	77.8	88.9	77.8
208	77.8	77.8	55.6
209	77.8	88.9	22.2
210	44.4	44.4	100.0
211	66.7	66.7	77.8
212	66.7	66.7	66.7
213	44.4	44.4	88.9
214	66.7	55.6	55.6
215	55.6	55.6	33.3
216	44.4	44.4	22.2
217	66.7	66.7	22.2
218	88.9	77.8	88.9
219	77.8	88.9	66.7
220	33.3	22.2	22.2
221	66.7	66.7	66.7
222	77.8	100.0	44.4
223	77.8	66.7	66.7
224	77.8	55.6	44.4
225	100.0	77.8	44.4
226	66.7	55.6	100.0
227	55.6	66.7	55.6
228	77.8	100.0	55.6
229	66.7	55.6	55.6
230	100.0	100.0	100.0
231	44.4	0.0	66.7
232	77.8	77.8	44.4
233	77.8	88.9	44.4
234	77.8	66.7	44.4
235	44.4	66.7	88.9
236	66.7	66.7	44.4
237	55.6	44.4	77.8
238	77.8	77.8	55.6
239	88.9	77.8	44.4
240	55.6	66.7	66.7
241	33.3	100.0	66.7
242	100.0	100.0	100.0
243	77.8	77.8	0.0
244	100.0	100.0	77.8
245	44.4	66.7	44.4
246	66.7	66.7	66.7
247	88.9	88.9	88.9
248	77.8	77.8	66.7
249	66.7	55.6	66.7
250	100.0	77.8	44.4
